id	SAMPLE_NAME	sample_type	Plot_ID	COLLECTION_DATE	Year	Year_Cat	Fermentation_Timepoint	Plot	Altitude	Average_slope	Exposition	Min_radiation	Max_radiation	Average_radiation	Soil_thickness	Soil_type	Soil_depth	Hydromorphie	Hydromorphie_code	Geology	Quadrant	Cluster	Plot_PCA_kMeans_Cluster	Unnamed: 0	average_rh	median_rh	maximum_rh	minimum_rh	cv_rh	GDD	average_temperature	median_temperature	maximum_temperature	minimum_temperature	accumulated_temperature	cv_temperature
364528_513-LP3-16S-1089	Lavaux_2021-08-31_leaf_Plot4_washed	leaf	Lavaux_Plot_4	2021-08-31 00:00:00 +0200	2021	Year2021		4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	NW	Cluster3	Cluster1	27	72.82861453294451	72.79239285714286	99.03658333333334	33.07826086956521	16.567322143078865	1325.721843007717	18.15426137659085	18.65095833333333	26.689636363636364	8.40175	2940.990343007717	22.58766724480928
364528_490-LP3-16S-1066	Lavaux_2021-08-31_leaf_Plot5_washed	leaf	Lavaux_Plot_5	2021-08-31 00:00:00 +0200	2021	Year2021		5	400	30	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Molasse	SW	Cluster3	Cluster3	30	70.38258361458806	70.19239393939394	95.96433333333331	32.83045833333333	16.33171410939929	1379.3471410988768	18.494554178817545	19.04736607142857	26.35140909090909	8.816374999999999	2996.1177769684423	22.10486652094672
364528_481-LP3-16S-1057	Lavaux_2021-08-31_leaf_Plot9_washed	leaf	Lavaux_Plot_9	2021-08-31 00:00:00 +0200	2021	Year2021		9	520	35	South-West	875	900	887.5	calcosol	Calcaire	100-180	no_redox	0	Molasse	NE	Cluster3	Cluster2	33	73.02254133079511	73.07758498023716	98.18154166666666	32.794125	16.570451256501585	1286.2540214285714	17.90258477499866	18.256629166666663	25.850772727272727	8.052083333333334	2900.218733549784	22.831881134138296
364528_506-LP3-16S-1082	Lavaux_2021-08-31_leaf_Plot11_washed	leaf	Lavaux_Plot_11	2021-08-31 00:00:00 +0200	2021	Year2021		11	490	20	South	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Gravel_moraine	NW	Cluster3	Cluster1	0	71.9489584971331	72.50186956521739	96.43716666666668	32.357791666666664	16.11835139160641	1297.271087217715	17.964399200932395	18.5414375	26.77528571428571	7.966541666666667	2910.232670551048	23.24693891229113
364528_484-LP3-16S-1060	Lavaux_2021-08-31_leaf_Plot12_washed	leaf	Lavaux_Plot_12	2021-08-31 00:00:00 +0200	2021	Year2021		12	520	15	South-West	925	950	937.5	colluviosol	Calcique	above_150	Slightly_redox	1	Colluvium	NW	Cluster1	Cluster1	3	72.75329490532629	72.9347106060606	97.113875	32.10463636363637	16.661423319979473	1286.8228752273058	17.897068636831477	18.24498376623377	27.50914285714285	7.779875	2899.3251191667	23.615954757680104
364528_498-LP3-16S-1074	Lavaux_2021-08-31_leaf_Plot13_washed	leaf	Lavaux_Plot_13	2021-08-31 00:00:00 +0200	2021	Year2021		13	580	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	NW	Cluster3	Cluster1	6	71.33489526587412	71.96485294117647	92.32479166666668	32.54754166666667	15.751160718490064	1233.0181250659637	17.544612421082768	17.90284090909091	26.10758333333333	7.337739130434783	2842.2272122154086	23.908978191786225
364528_492-LP3-16S-1068	Lavaux_2021-08-31_leaf_Plot14_washed	leaf	Lavaux_Plot_14	2021-08-31 00:00:00 +0200	2021	Year2021		14	440	25	South	900	925	912.5	calcosol	Calcaire	100-180	Slightly_redox	1	Bottom_moraine	NW	Cluster3	Cluster3	9	70.76744679432959	70.51716477272728	95.27910526315787	33.10786363636363	15.496785478367062	1356.0312805524186	18.343626731805053	18.93947321428572	26.505666666666663	8.440041666666668	2971.6675305524186	22.57047640050412
364528_503-LP3-16S-1079	Lavaux_2021-08-31_leaf_Plot15_washed	leaf	Lavaux_Plot_15	2021-08-31 00:00:00 +0200	2021	Year2021		15	520	30	South-West	900	925	912.5	calcosol	Calcique	100-180	no_redox	0	Gravel_moraine	NW	Cluster1	Cluster1	12	72.1040230548236	71.769375	99.44491666666666	33.22309090909091	16.546104683139284	1286.6285310673416	17.89271319499432	18.384715909090907	26.26125	7.47708695652174	2898.61953758908	23.28344880916049
364528_508-LP3-16S-1084	Lavaux_2021-08-31_leaf_Plot18_washed	leaf	Lavaux_Plot_18	2021-08-31 00:00:00 +0200	2021	Year2021		18	470	25	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Gravel_moraine	SE	Cluster2	Cluster3	18	72.15820951967315	72.05941145833333	98.90501041666666	32.43475	16.733437713410133	1314.797006148245	18.081397875780898	18.791291666666663	26.273697916666663	8.249697916666667	2929.186455876505	22.75462193467938
364528_482-LP3-16S-1058	Lavaux_2021-08-31_leaf_Plot19_washed	leaf	Lavaux_Plot_19	2021-08-31 00:00:00 +0200	2021	Year2021		19	510	50	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Gravel_moraine	SE	Cluster2	Cluster2	21	70.31305002880372	70.7	98.56521739130434	26.33333333333333	17.802871965665318		16.008015294727183	16.288025210084033	23.59375	6.876190476190477	2561.282447156349	23.37348801043625
364528_512-LP3-16S-1088	Lavaux_2021-08-31_leaf_Plot17_washed	leaf	Lavaux_Plot_17	2021-08-31 00:00:00 +0200	2021	Year2021		17	390	20	South-West	900	925	912.5	calcosol	Calcaire	40-100	Slightly_redox	1	Molasse	SE	Cluster2	Cluster3	15	72.0767680178312	72.0068125	97.04042857142858	32.573458333333335	16.381957927371836	1376.562043944347	18.47653496382774	19.06713315217392	26.18158333333333	8.854541666666666	2993.1986641400936	21.847832145961227
364528_266-LP3-16S-0842	Lavaux_2021-08-31_leaf_Plot4	leaf	Lavaux_Plot_4	2021-08-31 00:00:00 +0200	2021	Year2021		4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	NW	Cluster3	Cluster1	27	72.82861453294451	72.79239285714286	99.03658333333334	33.07826086956521	16.567322143078865	1325.721843007717	18.15426137659085	18.65095833333333	26.689636363636364	8.40175	2940.990343007717	22.58766724480928
364528_265-LP3-16S-0841	Lavaux_2021-08-31_leaf_Plot5	leaf	Lavaux_Plot_5	2021-08-31 00:00:00 +0200	2021	Year2021		5	400	30	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Molasse	SW	Cluster3	Cluster3	30	70.38258361458806	70.19239393939394	95.96433333333331	32.83045833333333	16.33171410939929	1379.3471410988768	18.494554178817545	19.04736607142857	26.35140909090909	8.816374999999999	2996.1177769684423	22.10486652094672
364528_283-LP3-16S-0859	Lavaux_2021-08-31_leaf_Plot9	leaf	Lavaux_Plot_9	2021-08-31 00:00:00 +0200	2021	Year2021		9	520	35	South-West	875	900	887.5	calcosol	Calcaire	100-180	no_redox	0	Molasse	NE	Cluster3	Cluster2	33	73.02254133079511	73.07758498023716	98.18154166666666	32.794125	16.570451256501585	1286.2540214285714	17.90258477499866	18.256629166666663	25.850772727272727	8.052083333333334	2900.218733549784	22.831881134138296
364528_263-LP3-16S-0839	Lavaux_2021-08-31_leaf_Plot11	leaf	Lavaux_Plot_11	2021-08-31 00:00:00 +0200	2021	Year2021		11	490	20	South	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Gravel_moraine	NW	Cluster3	Cluster1	0	71.9489584971331	72.50186956521739	96.43716666666668	32.357791666666664	16.11835139160641	1297.271087217715	17.964399200932395	18.5414375	26.77528571428571	7.966541666666667	2910.232670551048	23.24693891229113
364528_262-LP3-16S-0838	Lavaux_2021-08-31_leaf_Plot12_1	leaf	Lavaux_Plot_12	2021-08-31 00:00:00 +0200	2021	Year2021		12	520	15	South-West	925	950	937.5	colluviosol	Calcique	above_150	Slightly_redox	1	Colluvium	NW	Cluster1	Cluster1	3	72.75329490532629	72.9347106060606	97.113875	32.10463636363637	16.661423319979473	1286.8228752273058	17.897068636831477	18.24498376623377	27.50914285714285	7.779875	2899.3251191667	23.615954757680104
364528_261-LP3-16S-0837	Lavaux_2021-08-31_leaf_Plot13	leaf	Lavaux_Plot_13	2021-08-31 00:00:00 +0200	2021	Year2021		13	580	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	NW	Cluster3	Cluster1	6	71.33489526587412	71.96485294117647	92.32479166666668	32.54754166666667	15.751160718490064	1233.0181250659637	17.544612421082768	17.90284090909091	26.10758333333333	7.337739130434783	2842.2272122154086	23.908978191786225
364528_133-LP3-16S-0709	Lavaux_2021-08-31_leaf_Plot14	leaf	Lavaux_Plot_14	2021-08-31 00:00:00 +0200	2021	Year2021		14	440	25	South	900	925	912.5	calcosol	Calcaire	100-180	Slightly_redox	1	Bottom_moraine	NW	Cluster3	Cluster3	9	70.76744679432959	70.51716477272728	95.27910526315787	33.10786363636363	15.496785478367062	1356.0312805524186	18.343626731805053	18.93947321428572	26.505666666666663	8.440041666666668	2971.6675305524186	22.57047640050412
364528_260-LP3-16S-0836	Lavaux_2021-08-31_leaf_Plot15	leaf	Lavaux_Plot_15	2021-08-31 00:00:00 +0200	2021	Year2021		15	520	30	South-West	900	925	912.5	calcosol	Calcique	100-180	no_redox	0	Gravel_moraine	NW	Cluster1	Cluster1	12	72.1040230548236	71.769375	99.44491666666666	33.22309090909091	16.546104683139284	1286.6285310673416	17.89271319499432	18.384715909090907	26.26125	7.47708695652174	2898.61953758908	23.28344880916049
364528_257-LP3-16S-0833	Lavaux_2021-08-31_leaf_Plot18	leaf	Lavaux_Plot_18	2021-08-31 00:00:00 +0200	2021	Year2021		18	470	25	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Gravel_moraine	SE	Cluster2	Cluster3	18	72.15820951967315	72.05941145833333	98.90501041666666	32.43475	16.733437713410133	1314.797006148245	18.081397875780898	18.791291666666663	26.273697916666663	8.249697916666667	2929.186455876505	22.75462193467938
364528_131-LP3-16S-0707	Lavaux_2021-08-31_leaf_Plot19	leaf	Lavaux_Plot_19	2021-08-31 00:00:00 +0200	2021	Year2021		19	510	50	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Gravel_moraine	SE	Cluster2	Cluster2	21	70.31305002880372	70.7	98.56521739130434	26.33333333333333	17.802871965665318		16.008015294727183	16.288025210084033	23.59375	6.876190476190477	2561.282447156349	23.37348801043625
364528_132-LP3-16S-0708	Lavaux_2021-08-31_leaf_Plot20	leaf	Lavaux_Plot_20	2021-08-31 00:00:00 +0200	2021	Year2021		20	470	20	South	925	950	937.5	calcosol	Calcaire	100-180	no_redox	0	Bottom_moraine	SE	Cluster2	Cluster4	24	71.53313137136838	71.59675905797101	97.39083333333332	32.6945	16.180811678534234	1305.7437076863353	18.02897142425811	18.473770833333333	25.995791666666666	8.170416666666666	2920.693370729813	22.49078186654833
364528_258-LP3-16S-0834	Lavaux_2021-08-31_leaf_Plot17	leaf	Lavaux_Plot_17	2021-08-31 00:00:00 +0200	2021	Year2021		17	390	20	South-West	900	925	912.5	calcosol	Calcaire	40-100	Slightly_redox	1	Molasse	SE	Cluster2	Cluster3	15	72.0767680178312	72.0068125	97.04042857142858	32.573458333333335	16.381957927371836	1376.562043944347	18.47653496382774	19.06713315217392	26.18158333333333	8.854541666666666	2993.1986641400936	21.847832145961227
364528_309-LP3-16S-0885	Lavaux_2021-08-31_must_Plot4	must	Lavaux_Plot_4	2021-08-31 00:00:00 +0200	2021	Year2021	0.0	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	NW	Cluster3	Cluster1	27	72.82861453294451	72.79239285714286	99.03658333333334	33.07826086956521	16.567322143078865	1325.721843007717	18.15426137659085	18.65095833333333	26.689636363636364	8.40175	2940.990343007717	22.58766724480928
364528_308-LP3-16S-0884	Lavaux_2021-08-31_must_Plot5	must	Lavaux_Plot_5	2021-08-31 00:00:00 +0200	2021	Year2021	0.0	5	400	30	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Molasse	SW	Cluster3	Cluster3	30	70.38258361458806	70.19239393939394	95.96433333333331	32.83045833333333	16.33171410939929	1379.3471410988768	18.494554178817545	19.04736607142857	26.35140909090909	8.816374999999999	2996.1177769684423	22.10486652094672
364528_310-LP3-16S-0886	Lavaux_2021-08-31_must_Plot9	must	Lavaux_Plot_9	2021-08-31 00:00:00 +0200	2021	Year2021	0.0	9	520	35	South-West	875	900	887.5	calcosol	Calcaire	100-180	no_redox	0	Molasse	NE	Cluster3	Cluster2	33	73.02254133079511	73.07758498023716	98.18154166666666	32.794125	16.570451256501585	1286.2540214285714	17.90258477499866	18.256629166666663	25.850772727272727	8.052083333333334	2900.218733549784	22.831881134138296
364528_317-LP3-16S-0893	Lavaux_2021-08-31_must_Plot11	must	Lavaux_Plot_11	2021-08-31 00:00:00 +0200	2021	Year2021	0.0	11	490	20	South	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Gravel_moraine	NW	Cluster3	Cluster1	0	71.9489584971331	72.50186956521739	96.43716666666668	32.357791666666664	16.11835139160641	1297.271087217715	17.964399200932395	18.5414375	26.77528571428571	7.966541666666667	2910.232670551048	23.24693891229113
364528_316-LP3-16S-0892	Lavaux_2021-08-31_must_Plot12	must	Lavaux_Plot_12	2021-08-31 00:00:00 +0200	2021	Year2021	0.0	12	520	15	South-West	925	950	937.5	colluviosol	Calcique	above_150	Slightly_redox	1	Colluvium	NW	Cluster1	Cluster1	3	72.75329490532629	72.9347106060606	97.113875	32.10463636363637	16.661423319979473	1286.8228752273058	17.897068636831477	18.24498376623377	27.50914285714285	7.779875	2899.3251191667	23.615954757680104
364528_313-LP3-16S-0889	Lavaux_2021-08-31_must_Plot13	must	Lavaux_Plot_13	2021-08-31 00:00:00 +0200	2021	Year2021	0.0	13	580	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	NW	Cluster3	Cluster1	6	71.33489526587412	71.96485294117647	92.32479166666668	32.54754166666667	15.751160718490064	1233.0181250659637	17.544612421082768	17.90284090909091	26.10758333333333	7.337739130434783	2842.2272122154086	23.908978191786225
364528_315-LP3-16S-0891	Lavaux_2021-08-31_must_Plot14	must	Lavaux_Plot_14	2021-08-31 00:00:00 +0200	2021	Year2021	0.0	14	440	25	South	900	925	912.5	calcosol	Calcaire	100-180	Slightly_redox	1	Bottom_moraine	NW	Cluster3	Cluster3	9	70.76744679432959	70.51716477272728	95.27910526315787	33.10786363636363	15.496785478367062	1356.0312805524186	18.343626731805053	18.93947321428572	26.505666666666663	8.440041666666668	2971.6675305524186	22.57047640050412
364528_312-LP3-16S-0888	Lavaux_2021-08-31_must_Plot15	must	Lavaux_Plot_15	2021-08-31 00:00:00 +0200	2021	Year2021	0.0	15	520	30	South-West	900	925	912.5	calcosol	Calcique	100-180	no_redox	0	Gravel_moraine	NW	Cluster1	Cluster1	12	72.1040230548236	71.769375	99.44491666666666	33.22309090909091	16.546104683139284	1286.6285310673416	17.89271319499432	18.384715909090907	26.26125	7.47708695652174	2898.61953758908	23.28344880916049
364528_318-LP3-16S-0894	Lavaux_2021-08-31_must_Plot18	must	Lavaux_Plot_18	2021-08-31 00:00:00 +0200	2021	Year2021	0.0	18	470	25	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Gravel_moraine	SE	Cluster2	Cluster3	18	72.15820951967315	72.05941145833333	98.90501041666666	32.43475	16.733437713410133	1314.797006148245	18.081397875780898	18.791291666666663	26.273697916666663	8.249697916666667	2929.186455876505	22.75462193467938
364528_314-LP3-16S-0890	Lavaux_2021-08-31_must_Plot19	must	Lavaux_Plot_19	2021-08-31 00:00:00 +0200	2021	Year2021	0.0	19	510	50	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Gravel_moraine	SE	Cluster2	Cluster2	21	70.31305002880372	70.7	98.56521739130434	26.33333333333333	17.802871965665318		16.008015294727183	16.288025210084033	23.59375	6.876190476190477	2561.282447156349	23.37348801043625
364528_311-LP3-16S-0887	Lavaux_2021-08-31_must_Plot20	must	Lavaux_Plot_20	2021-08-31 00:00:00 +0200	2021	Year2021	0.0	20	470	20	South	925	950	937.5	calcosol	Calcaire	100-180	no_redox	0	Bottom_moraine	SE	Cluster2	Cluster4	24	71.53313137136838	71.59675905797101	97.39083333333332	32.6945	16.180811678534234	1305.7437076863353	18.02897142425811	18.473770833333333	25.995791666666666	8.170416666666666	2920.693370729813	22.49078186654833
364528_307-LP3-16S-0883	Lavaux_2021-08-31_must_Plot17	must	Lavaux_Plot_17	2021-08-31 00:00:00 +0200	2021	Year2021	0.0	17	390	20	South-West	900	925	912.5	calcosol	Calcaire	40-100	Slightly_redox	1	Molasse	SE	Cluster2	Cluster3	15	72.0767680178312	72.0068125	97.04042857142858	32.573458333333335	16.381957927371836	1376.562043944347	18.47653496382774	19.06713315217392	26.18158333333333	8.854541666666666	2993.1986641400936	21.847832145961227
364527_027-LP3-16S-0027	Lavaux_2021-09-30_must_Plot4_Row6/Vine10_ID1	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200	2021	Year2021	0.0	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	NW	Cluster3	Cluster1	27	72.82861453294451	72.79239285714286	99.03658333333334	33.07826086956521	16.567322143078865	1325.721843007717	18.15426137659085	18.65095833333333	26.689636363636364	8.40175	2940.990343007717	22.58766724480928
364527_048-LP3-16S-0048	Lavaux_2021-09-30_must_Plot4_Row6/Vine30_ID2	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200	2021	Year2021	0.0	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	NW	Cluster3	Cluster1	27	72.82861453294451	72.79239285714286	99.03658333333334	33.07826086956521	16.567322143078865	1325.721843007717	18.15426137659085	18.65095833333333	26.689636363636364	8.40175	2940.990343007717	22.58766724480928
364527_166-LP3-16S-0166	Lavaux_2021-09-30_must_Plot4_Row7/Vine20_ID3	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200	2021	Year2021	0.0	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	NW	Cluster3	Cluster1	27	72.82861453294451	72.79239285714286	99.03658333333334	33.07826086956521	16.567322143078865	1325.721843007717	18.15426137659085	18.65095833333333	26.689636363636364	8.40175	2940.990343007717	22.58766724480928
364527_019-LP3-16S-0019	Lavaux_2021-09-30_must_Plot4_Row8/Vine10_ID4	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200	2021	Year2021	0.0	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	NW	Cluster3	Cluster1	27	72.82861453294451	72.79239285714286	99.03658333333334	33.07826086956521	16.567322143078865	1325.721843007717	18.15426137659085	18.65095833333333	26.689636363636364	8.40175	2940.990343007717	22.58766724480928
364527_075-LP3-16S-0075	Lavaux_2021-09-30_must_Plot4_Row8/Vine30_ID5	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200	2021	Year2021	0.0	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	NW	Cluster3	Cluster1	27	72.82861453294451	72.79239285714286	99.03658333333334	33.07826086956521	16.567322143078865	1325.721843007717	18.15426137659085	18.65095833333333	26.689636363636364	8.40175	2940.990343007717	22.58766724480928
364527_001-LP3-16S-0001	Lavaux_2021-09-30_must_Plot4_Row9/Vine20_ID6	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200	2021	Year2021	0.0	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	NW	Cluster3	Cluster1	27	72.82861453294451	72.79239285714286	99.03658333333334	33.07826086956521	16.567322143078865	1325.721843007717	18.15426137659085	18.65095833333333	26.689636363636364	8.40175	2940.990343007717	22.58766724480928
364527_017-LP3-16S-0017	Lavaux_2021-09-30_must_Plot4_Row10/Vine10_ID7	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200	2021	Year2021	0.0	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	NW	Cluster3	Cluster1	27	72.82861453294451	72.79239285714286	99.03658333333334	33.07826086956521	16.567322143078865	1325.721843007717	18.15426137659085	18.65095833333333	26.689636363636364	8.40175	2940.990343007717	22.58766724480928
364528_326-LP3-16S-0902	Lavaux_2021-09-30_must_Plot4_Row10/Vine30_ID8	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200	2021	Year2021	0.0	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	NW	Cluster3	Cluster1	27	72.82861453294451	72.79239285714286	99.03658333333334	33.07826086956521	16.567322143078865	1325.721843007717	18.15426137659085	18.65095833333333	26.689636363636364	8.40175	2940.990343007717	22.58766724480928
364527_026-LP3-16S-0026	Lavaux_2021-09-30_must_Plot4_Row11/Vine20_ID9	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200	2021	Year2021	0.0	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	NW	Cluster3	Cluster1	27	72.82861453294451	72.79239285714286	99.03658333333334	33.07826086956521	16.567322143078865	1325.721843007717	18.15426137659085	18.65095833333333	26.689636363636364	8.40175	2940.990343007717	22.58766724480928
