id	SAMPLE_NAME	Bacterial conc. (ng/uL)	Collection_ID	sample_type	Plot_ID	COLLECTION_DATE	Replicate	Time_point	Year	Year_Cat	Plot	Altitude	Average_slope	Exposition	Min_radiation	Max_radiation	Average_radiation	Soil_thickness	Soil_type	Soil_depth	Hydromorphie	Hydromorphie_code	Geology	Coordinates	Latitude	Longitude	Quadrant	Cluster	Plot_PCA_kMeans_Cluster	washed
364528_290-LP3-16S-0866	Lavaux_2021-08-31_bark_Plot4	4.3	Veraison_2021	bark	Lavaux_Plot_4	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	46°29′55.815″N 6°42′29.007″E	46.4988570548289	6.70807175575627	NW	Cluster3	Cluster1	no
364528_289-LP3-16S-0865	Lavaux_2021-08-31_bark_Plot5	3.5	Veraison_2021	bark	Lavaux_Plot_5	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	5	400	30	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Molasse	46°29′47.037″N 6°42′31.353″E	46.4964065903741	6.70871201397826	SW	Cluster3	Cluster3	no
364528_285-LP3-16S-0861	Lavaux_2021-08-31_bark_Plot9	6.5	Veraison_2021	bark	Lavaux_Plot_9	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	9	520	35	South-West	875	900	887.5	calcosol	Calcaire	100-180	no_redox	0	Molasse	46°29′57.936″N 6°42′44.103″E	46.4994682681065	6.71224196270189	NE	Cluster3	Cluster2	no
364528_287-LP3-16S-0863	Lavaux_2021-08-31_bark_Plot11	7.5	Veraison_2021	bark	Lavaux_Plot_11	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	11	490	20	South	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Gravel_moraine	46°30′00.818″N 6°42′23.968″E	46.5002436975776	6.70665543730247	NW	Cluster3	Cluster1	no
364528_282-LP3-16S-0858	Lavaux_2021-08-31_bark_Plot12	12.6	Veraison_2021	bark	Lavaux_Plot_12	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	12	520	15	South-West	925	950	937.5	colluviosol	Calcique	above_150	Slightly_redox	1	Colluvium	46°30′09.426″N 6°42′17.825″E	46.5026282835503	6.70495171985618	NW	Cluster1	Cluster1	no
364528_286-LP3-16S-0862	Lavaux_2021-08-31_bark_Plot13	6.6	Veraison_2021	bark	Lavaux_Plot_13	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	13	580	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	46°29′59.656″N 6°42′21.944″E	46.4999921506673	6.70610909063848	NW	Cluster3	Cluster1	no
364528_278-LP3-16S-0854	Lavaux_2021-08-31_bark_Plot14	2.9	Veraison_2021	bark	Lavaux_Plot_14	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	14	440	25	South	900	925	912.5	calcosol	Calcaire	100-180	Slightly_redox	1	Bottom_moraine	46°29′50.529″N 6°42′25.467″E	46.4974937572741	6.70710403923947	NW	Cluster3	Cluster3	no
364528_280-LP3-16S-0856	Lavaux_2021-08-31_bark_Plot15	5.3	Veraison_2021	bark	Lavaux_Plot_15	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	15	520	30	South-West	900	925	912.5	calcosol	Calcique	100-180	no_redox	0	Gravel_moraine	46°30′21.494″N 6°42′08.609″E	46.5060665399151	6.70239140408832	NW	Cluster1	Cluster1	no
364528_277-LP3-16S-0853	Lavaux_2021-08-31_bark_Plot18	3.6	Veraison_2021	bark	Lavaux_Plot_18	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	18	470	25	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Gravel_moraine	46°29′40.584″N 6°42′47.642″E	46.4947100454995	6.7132553622143	SE	Cluster2	Cluster3	no
364528_276-LP3-16S-0852	Lavaux_2021-08-31_bark_Plot19	5.6	Veraison_2021	bark	Lavaux_Plot_19	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	19	510	50	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Gravel_moraine	46°29′45.020″N 6°42′57.758″E	46.4959274724947	6.7160224459764	SE	Cluster2	Cluster2	no
364528_275-LP3-16S-0851	Lavaux_2021-08-31_bark_Plot20	3.2	Veraison_2021	bark	Lavaux_Plot_20	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	20	470	20	South	925	950	937.5	calcosol	Calcaire	100-180	no_redox	0	Bottom_moraine	46°29′37.675″N 6°43′14.058″E	46.4938871757964	6.72055024597156	SE	Cluster2	Cluster4	no
364528_129-LP3-16S-0705	Lavaux_2021-08-31_bark_Plot17	2.1	Veraison_2021	bark	Lavaux_Plot_17	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	17	390	20	South-West	900	925	912.5	calcosol	Calcaire	40-100	Slightly_redox	1	Molasse	46°29′17.306″N 6°43′16.790″E	46.4882217976717	6.72133060338618	SE	Cluster2	Cluster3	no
364528_513-LP3-16S-1089	Lavaux_2021-08-31_leaf_Plot4_washed	1.4	Veraison_2021	leaf	Lavaux_Plot_4	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	46°29′55.815″N 6°42′29.007″E	46.4988570548289	6.70807175575627	NW	Cluster3	Cluster1	washed
364528_490-LP3-16S-1066	Lavaux_2021-08-31_leaf_Plot5_washed	6.1	Veraison_2021	leaf	Lavaux_Plot_5	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	5	400	30	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Molasse	46°29′47.037″N 6°42′31.353″E	46.4964065903741	6.70871201397826	SW	Cluster3	Cluster3	washed
364528_481-LP3-16S-1057	Lavaux_2021-08-31_leaf_Plot9_washed	7.9	Veraison_2021	leaf	Lavaux_Plot_9	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	9	520	35	South-West	875	900	887.5	calcosol	Calcaire	100-180	no_redox	0	Molasse	46°29′57.936″N 6°42′44.103″E	46.4994682681065	6.71224196270189	NE	Cluster3	Cluster2	washed
364528_506-LP3-16S-1082	Lavaux_2021-08-31_leaf_Plot11_washed	1.9	Veraison_2021	leaf	Lavaux_Plot_11	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	11	490	20	South	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Gravel_moraine	46°30′00.818″N 6°42′23.968″E	46.5002436975776	6.70665543730247	NW	Cluster3	Cluster1	washed
364528_484-LP3-16S-1060	Lavaux_2021-08-31_leaf_Plot12_washed	9.5	Veraison_2021	leaf	Lavaux_Plot_12	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	12	520	15	South-West	925	950	937.5	colluviosol	Calcique	above_150	Slightly_redox	1	Colluvium	46°30′09.426″N 6°42′17.825″E	46.5026282835503	6.70495171985618	NW	Cluster1	Cluster1	washed
364528_498-LP3-16S-1074	Lavaux_2021-08-31_leaf_Plot13_washed	3.1	Veraison_2021	leaf	Lavaux_Plot_13	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	13	580	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	46°29′59.656″N 6°42′21.944″E	46.4999921506673	6.70610909063848	NW	Cluster3	Cluster1	washed
364528_492-LP3-16S-1068	Lavaux_2021-08-31_leaf_Plot14_washed	3.2	Veraison_2021	leaf	Lavaux_Plot_14	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	14	440	25	South	900	925	912.5	calcosol	Calcaire	100-180	Slightly_redox	1	Bottom_moraine	46°29′50.529″N 6°42′25.467″E	46.4974937572741	6.70710403923947	NW	Cluster3	Cluster3	washed
364528_503-LP3-16S-1079	Lavaux_2021-08-31_leaf_Plot15_washed	2.1	Veraison_2021	leaf	Lavaux_Plot_15	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	15	520	30	South-West	900	925	912.5	calcosol	Calcique	100-180	no_redox	0	Gravel_moraine	46°30′21.494″N 6°42′08.609″E	46.5060665399151	6.70239140408832	NW	Cluster1	Cluster1	washed
364528_508-LP3-16S-1084	Lavaux_2021-08-31_leaf_Plot18_washed	2.5	Veraison_2021	leaf	Lavaux_Plot_18	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	18	470	25	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Gravel_moraine	46°29′40.584″N 6°42′47.642″E	46.4947100454995	6.7132553622143	SE	Cluster2	Cluster3	washed
364528_482-LP3-16S-1058	Lavaux_2021-08-31_leaf_Plot19_washed	6.9	Veraison_2021	leaf	Lavaux_Plot_19	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	19	510	50	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Gravel_moraine	46°29′45.020″N 6°42′57.758″E	46.4959274724947	6.7160224459764	SE	Cluster2	Cluster2	washed
364528_512-LP3-16S-1088	Lavaux_2021-08-31_leaf_Plot17_washed	4.0	Veraison_2021	leaf	Lavaux_Plot_17	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	17	390	20	South-West	900	925	912.5	calcosol	Calcaire	40-100	Slightly_redox	1	Molasse	46°29′17.306″N 6°43′16.790″E	46.4882217976717	6.72133060338618	SE	Cluster2	Cluster3	washed
364528_266-LP3-16S-0842	Lavaux_2021-08-31_leaf_Plot4	4.4	Veraison_2021	leaf	Lavaux_Plot_4	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	46°29′55.815″N 6°42′29.007″E	46.4988570548289	6.70807175575627	NW	Cluster3	Cluster1	no
364528_265-LP3-16S-0841	Lavaux_2021-08-31_leaf_Plot5	5.0	Veraison_2021	leaf	Lavaux_Plot_5	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	5	400	30	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Molasse	46°29′47.037″N 6°42′31.353″E	46.4964065903741	6.70871201397826	SW	Cluster3	Cluster3	no
364528_283-LP3-16S-0859	Lavaux_2021-08-31_leaf_Plot9	10.4	Veraison_2021	leaf	Lavaux_Plot_9	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	9	520	35	South-West	875	900	887.5	calcosol	Calcaire	100-180	no_redox	0	Molasse	46°29′57.936″N 6°42′44.103″E	46.4994682681065	6.71224196270189	NE	Cluster3	Cluster2	no
364528_263-LP3-16S-0839	Lavaux_2021-08-31_leaf_Plot11	1.2	Veraison_2021	leaf	Lavaux_Plot_11	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	11	490	20	South	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Gravel_moraine	46°30′00.818″N 6°42′23.968″E	46.5002436975776	6.70665543730247	NW	Cluster3	Cluster1	no
364528_262-LP3-16S-0838	Lavaux_2021-08-31_leaf_Plot12_1	1.3	Veraison_2021	leaf	Lavaux_Plot_12	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	12	520	15	South-West	925	950	937.5	colluviosol	Calcique	above_150	Slightly_redox	1	Colluvium	46°30′09.426″N 6°42′17.825″E	46.5026282835503	6.70495171985618	NW	Cluster1	Cluster1	no
364528_261-LP3-16S-0837	Lavaux_2021-08-31_leaf_Plot13	1.2	Veraison_2021	leaf	Lavaux_Plot_13	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	13	580	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	46°29′59.656″N 6°42′21.944″E	46.4999921506673	6.70610909063848	NW	Cluster3	Cluster1	no
364528_133-LP3-16S-0709	Lavaux_2021-08-31_leaf_Plot14	2.4	Veraison_2021	leaf	Lavaux_Plot_14	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	14	440	25	South	900	925	912.5	calcosol	Calcaire	100-180	Slightly_redox	1	Bottom_moraine	46°29′50.529″N 6°42′25.467″E	46.4974937572741	6.70710403923947	NW	Cluster3	Cluster3	no
364528_260-LP3-16S-0836	Lavaux_2021-08-31_leaf_Plot15	7.1	Veraison_2021	leaf	Lavaux_Plot_15	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	15	520	30	South-West	900	925	912.5	calcosol	Calcique	100-180	no_redox	0	Gravel_moraine	46°30′21.494″N 6°42′08.609″E	46.5060665399151	6.70239140408832	NW	Cluster1	Cluster1	no
364528_257-LP3-16S-0833	Lavaux_2021-08-31_leaf_Plot18	1.4	Veraison_2021	leaf	Lavaux_Plot_18	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	18	470	25	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Gravel_moraine	46°29′40.584″N 6°42′47.642″E	46.4947100454995	6.7132553622143	SE	Cluster2	Cluster3	no
364528_131-LP3-16S-0707	Lavaux_2021-08-31_leaf_Plot19	1.8	Veraison_2021	leaf	Lavaux_Plot_19	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	19	510	50	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Gravel_moraine	46°29′45.020″N 6°42′57.758″E	46.4959274724947	6.7160224459764	SE	Cluster2	Cluster2	no
364528_132-LP3-16S-0708	Lavaux_2021-08-31_leaf_Plot20	5.4	Veraison_2021	leaf	Lavaux_Plot_20	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	20	470	20	South	925	950	937.5	calcosol	Calcaire	100-180	no_redox	0	Bottom_moraine	46°29′37.675″N 6°43′14.058″E	46.4938871757964	6.72055024597156	SE	Cluster2	Cluster4	no
364528_258-LP3-16S-0834	Lavaux_2021-08-31_leaf_Plot17	1.3	Veraison_2021	leaf	Lavaux_Plot_17	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	17	390	20	South-West	900	925	912.5	calcosol	Calcaire	40-100	Slightly_redox	1	Molasse	46°29′17.306″N 6°43′16.790″E	46.4882217976717	6.72133060338618	SE	Cluster2	Cluster3	no
364528_309-LP3-16S-0885	Lavaux_2021-08-31_must_Plot4	1.9	Veraison_2021	must	Lavaux_Plot_4	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	46°29′55.815″N 6°42′29.007″E	46.4988570548289	6.70807175575627	NW	Cluster3	Cluster1	no
364528_308-LP3-16S-0884	Lavaux_2021-08-31_must_Plot5	2.0	Veraison_2021	must	Lavaux_Plot_5	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	5	400	30	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Molasse	46°29′47.037″N 6°42′31.353″E	46.4964065903741	6.70871201397826	SW	Cluster3	Cluster3	no
364528_310-LP3-16S-0886	Lavaux_2021-08-31_must_Plot9	1.6	Veraison_2021	must	Lavaux_Plot_9	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	9	520	35	South-West	875	900	887.5	calcosol	Calcaire	100-180	no_redox	0	Molasse	46°29′57.936″N 6°42′44.103″E	46.4994682681065	6.71224196270189	NE	Cluster3	Cluster2	no
364528_317-LP3-16S-0893	Lavaux_2021-08-31_must_Plot11	1.9	Veraison_2021	must	Lavaux_Plot_11	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	11	490	20	South	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Gravel_moraine	46°30′00.818″N 6°42′23.968″E	46.5002436975776	6.70665543730247	NW	Cluster3	Cluster1	no
364528_316-LP3-16S-0892	Lavaux_2021-08-31_must_Plot12	2.4	Veraison_2021	must	Lavaux_Plot_12	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	12	520	15	South-West	925	950	937.5	colluviosol	Calcique	above_150	Slightly_redox	1	Colluvium	46°30′09.426″N 6°42′17.825″E	46.5026282835503	6.70495171985618	NW	Cluster1	Cluster1	no
364528_313-LP3-16S-0889	Lavaux_2021-08-31_must_Plot13	5.1	Veraison_2021	must	Lavaux_Plot_13	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	13	580	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	46°29′59.656″N 6°42′21.944″E	46.4999921506673	6.70610909063848	NW	Cluster3	Cluster1	no
364528_315-LP3-16S-0891	Lavaux_2021-08-31_must_Plot14	2.4	Veraison_2021	must	Lavaux_Plot_14	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	14	440	25	South	900	925	912.5	calcosol	Calcaire	100-180	Slightly_redox	1	Bottom_moraine	46°29′50.529″N 6°42′25.467″E	46.4974937572741	6.70710403923947	NW	Cluster3	Cluster3	no
364528_312-LP3-16S-0888	Lavaux_2021-08-31_must_Plot15	2.1	Veraison_2021	must	Lavaux_Plot_15	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	15	520	30	South-West	900	925	912.5	calcosol	Calcique	100-180	no_redox	0	Gravel_moraine	46°30′21.494″N 6°42′08.609″E	46.5060665399151	6.70239140408832	NW	Cluster1	Cluster1	no
364528_318-LP3-16S-0894	Lavaux_2021-08-31_must_Plot18	5.0	Veraison_2021	must	Lavaux_Plot_18	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	18	470	25	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Gravel_moraine	46°29′40.584″N 6°42′47.642″E	46.4947100454995	6.7132553622143	SE	Cluster2	Cluster3	no
364528_314-LP3-16S-0890	Lavaux_2021-08-31_must_Plot19	2.2	Veraison_2021	must	Lavaux_Plot_19	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	19	510	50	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Gravel_moraine	46°29′45.020″N 6°42′57.758″E	46.4959274724947	6.7160224459764	SE	Cluster2	Cluster2	no
364528_311-LP3-16S-0887	Lavaux_2021-08-31_must_Plot20	1.7	Veraison_2021	must	Lavaux_Plot_20	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	20	470	20	South	925	950	937.5	calcosol	Calcaire	100-180	no_redox	0	Bottom_moraine	46°29′37.675″N 6°43′14.058″E	46.4938871757964	6.72055024597156	SE	Cluster2	Cluster4	no
364528_307-LP3-16S-0883	Lavaux_2021-08-31_must_Plot17	1.9	Veraison_2021	must	Lavaux_Plot_17	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	17	390	20	South-West	900	925	912.5	calcosol	Calcaire	40-100	Slightly_redox	1	Molasse	46°29′17.306″N 6°43′16.790″E	46.4882217976717	6.72133060338618	SE	Cluster2	Cluster3	no
364527_027-LP3-16S-0027	Lavaux_2021-09-30_must_Plot4_Row6/Vine10_ID1	1.9	Harvest_2021	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200		Harvest	2021	Year2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	46°29′55.815″N 6°42′29.007″E	46.4988570548289	6.70807175575627	NW	Cluster3	Cluster1	no
364527_048-LP3-16S-0048	Lavaux_2021-09-30_must_Plot4_Row6/Vine30_ID2	1.4	Harvest_2021	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200		Harvest	2021	Year2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	46°29′55.815″N 6°42′29.007″E	46.4988570548289	6.70807175575627	NW	Cluster3	Cluster1	no
364527_166-LP3-16S-0166	Lavaux_2021-09-30_must_Plot4_Row7/Vine20_ID3	1.8	Harvest_2021	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200		Harvest	2021	Year2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	46°29′55.815″N 6°42′29.007″E	46.4988570548289	6.70807175575627	NW	Cluster3	Cluster1	no
364527_019-LP3-16S-0019	Lavaux_2021-09-30_must_Plot4_Row8/Vine10_ID4	2.9	Harvest_2021	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200		Harvest	2021	Year2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	46°29′55.815″N 6°42′29.007″E	46.4988570548289	6.70807175575627	NW	Cluster3	Cluster1	no
364527_075-LP3-16S-0075	Lavaux_2021-09-30_must_Plot4_Row8/Vine30_ID5	7.6	Harvest_2021	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200		Harvest	2021	Year2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	46°29′55.815″N 6°42′29.007″E	46.4988570548289	6.70807175575627	NW	Cluster3	Cluster1	no
364527_001-LP3-16S-0001	Lavaux_2021-09-30_must_Plot4_Row9/Vine20_ID6	4.5	Harvest_2021	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200		Harvest	2021	Year2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	46°29′55.815″N 6°42′29.007″E	46.4988570548289	6.70807175575627	NW	Cluster3	Cluster1	no
364527_017-LP3-16S-0017	Lavaux_2021-09-30_must_Plot4_Row10/Vine10_ID7	4.9	Harvest_2021	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200		Harvest	2021	Year2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	46°29′55.815″N 6°42′29.007″E	46.4988570548289	6.70807175575627	NW	Cluster3	Cluster1	no
364528_326-LP3-16S-0902	Lavaux_2021-09-30_must_Plot4_Row10/Vine30_ID8	2.9	Harvest_2021	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200		Harvest	2021	Year2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	46°29′55.815″N 6°42′29.007″E	46.4988570548289	6.70807175575627	NW	Cluster3	Cluster1	no
364527_026-LP3-16S-0026	Lavaux_2021-09-30_must_Plot4_Row11/Vine20_ID9	1.6	Harvest_2021	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200		Harvest	2021	Year2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	46°29′55.815″N 6°42′29.007″E	46.4988570548289	6.70807175575627	NW	Cluster3	Cluster1	no
364527_172-LP3-16S-0172	Lavaux_2021-09-30_must_Plot4_Row12/Vine10_ID10	8.7	Harvest_2021	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200		Harvest	2021	Year2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	46°29′55.815″N 6°42′29.007″E	46.4988570548289	6.70807175575627	NW	Cluster3	Cluster1	no
364527_247-LP3-16S-0247	Lavaux_2021-09-30_must_Plot4_Row12/Vine30_ID11	2.7	Harvest_2021	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200		Harvest	2021	Year2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	46°29′55.815″N 6°42′29.007″E	46.4988570548289	6.70807175575627	NW	Cluster3	Cluster1	no
364527_165-LP3-16S-0165	Lavaux_2021-09-30_must_Plot4_Row13/Vine20_ID12	1.5	Harvest_2021	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200		Harvest	2021	Year2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	46°29′55.815″N 6°42′29.007″E	46.4988570548289	6.70807175575627	NW	Cluster3	Cluster1	no
364527_068-LP3-16S-0068	Lavaux_2021-09-30_must_Plot4_Row14/Vine10_ID13	6.7	Harvest_2021	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200		Harvest	2021	Year2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	46°29′55.815″N 6°42′29.007″E	46.4988570548289	6.70807175575627	NW	Cluster3	Cluster1	no
364527_144-LP3-16S-0144	Lavaux_2021-09-30_must_Plot4_Row14/Vine30_ID14	1.4	Harvest_2021	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200		Harvest	2021	Year2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	46°29′55.815″N 6°42′29.007″E	46.4988570548289	6.70807175575627	NW	Cluster3	Cluster1	no
364527_174-LP3-16S-0174	Lavaux_2021-09-30_must_Plot4_Row15/Vine20_ID15	9.7	Harvest_2021	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200		Harvest	2021	Year2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	46°29′55.815″N 6°42′29.007″E	46.4988570548289	6.70807175575627	NW	Cluster3	Cluster1	no
364527_057-LP3-16S-0057	Lavaux_2021-09-30_must_Plot4_Row16/Vine10_ID16	2.9	Harvest_2021	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200		Harvest	2021	Year2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	46°29′55.815″N 6°42′29.007″E	46.4988570548289	6.70807175575627	NW	Cluster3	Cluster1	no
364527_034-LP3-16S-0034	Lavaux_2021-09-30_must_Plot4_Row16/Vine30_ID17	1.8	Harvest_2021	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200		Harvest	2021	Year2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	46°29′55.815″N 6°42′29.007″E	46.4988570548289	6.70807175575627	NW	Cluster3	Cluster1	no
364527_155-LP3-16S-0155	Lavaux_2021-09-30_must_Plot4_Row17/Vine20_ID18	2.0	Harvest_2021	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200		Harvest	2021	Year2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	46°29′55.815″N 6°42′29.007″E	46.4988570548289	6.70807175575627	NW	Cluster3	Cluster1	no
364527_139-LP3-16S-0139	Lavaux_2021-09-30_must_Plot4_Row18/Vine10_ID19	2.2	Harvest_2021	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200		Harvest	2021	Year2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	46°29′55.815″N 6°42′29.007″E	46.4988570548289	6.70807175575627	NW	Cluster3	Cluster1	no
364528_332-LP3-16S-0908	Lavaux_2021-09-30_must_Plot4_Row18/Vine30_ID20	2.5	Harvest_2021	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200		Harvest	2021	Year2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	46°29′55.815″N 6°42′29.007″E	46.4988570548289	6.70807175575627	NW	Cluster3	Cluster1	no
364527_210-LP3-16S-0210	Lavaux_2021-09-30_must_Plot4_Row19/Vine20_ID21	3.1	Harvest_2021	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200		Harvest	2021	Year2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	46°29′55.815″N 6°42′29.007″E	46.4988570548289	6.70807175575627	NW	Cluster3	Cluster1	no
364527_159-LP3-16S-0159	Lavaux_2021-09-30_must_Plot4_Row20/Vine10_ID22	2.9	Harvest_2021	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200		Harvest	2021	Year2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	46°29′55.815″N 6°42′29.007″E	46.4988570548289	6.70807175575627	NW	Cluster3	Cluster1	no
